Tarih	Satýþ Temsilcisi	Adet	ÜrünAdý	Fiyat	Ýndirim	Net
2.05.2017	Serdar Kýlýç	21	Buji Takýmý	43	0,07	839,79
21.02.2017	Hadi Ýstanbullu	425	Trigger Seti	26	0,48	5746
29.06.2017	Ramazan Coþkun	1	Debiyaj Seti	22	0	22
22.04.2017	Sibel Demir	30	Fren Disk	59,99	0,04	1727,712
1.03.2017	Metin Koçyiðit	34	Trigger Seti	26	0,13	769,08
14.02.2017	Þemsettin Aksay	7	Rot Baþý	23	0	161
16.04.2017	Ali Koç	31	Debiyaj Seti	22	0,15	579,7
23.02.2017	Damla Diker	300	Rot Kolu	27,95	0,47	4444,05
20.03.2017	Þehabettin Gündoðdu	225	Fren Balatasý	24,99	0,47	2980,0575
26.05.2017	Hülya Toprak	8	Yað Filtresi	43,69	0	349,52
2.02.2017	Sevil Çetinkaya	2	Rot Baþý	23	0	46
14.01.2017	Soner Bereket	8	Viraj Lastiði	23,95	0	191,6
25.01.2016	Hadi Ýstanbullu	45	Fren Disk	59,99	0,06	2537,577
17.06.2016	Esat Çetin	16	Buji Takýmý	43	0,07	639,84
4.02.2016	Orçun Doðan	475	Rot Kolu	27,95	0,45	7301,9375
24.04.2016	Necmettin Yemiþ	47	Viraj Lastiði	23,95	0,02	1103,137
27.06.2016	Necmettin Yemiþ	20	Ateþleme Bobini	25,95	0,05	493,05
19.04.2016	Soner Bereket	28	Fren Balatasý	24,99	0,04	671,7312
17.03.2016	Hadi Ýstanbullu	30	Silecek	19,99	0,15	509,745
15.03.2016	Sýtký Iþýt	15	Günelik	15,95	0,02	234,465
29.04.2016	Damla Diker	8	Fren Balatasý	24,99	0	199,92
8.02.2016	Emrah Kýrýmsoy	48	Tekerlek	19,99	0,09	873,1632
22.01.2016	Dilek Gürbüz	275	Trigger Seti	26	0,47	3789,5
24.05.2016	Taylan Denizhan	30	Fren Balatasý	24,99	0,07	697,221
27.03.2016	Ahmet Akgüneþ	4	Tekerlek	19,99	0	79,96
1.01.2016	Emrah Kýrýmsoy	5	Fren Balatasý	24,99	0	124,95
11.02.2016	Ahmet Yüce	100	Trigger Seti	26	0,39	1586
14.01.2016	Ayan Öztürk	250	Rot Baþý	23	0,56	2530
16.05.2016	Þemsettin Aksay	475	Ateþleme Bobini	25,95	0,54	5670,075
6.05.2016	Hülya Toprak	4	Viraj Lastiði	23,95	0	95,8
22.05.2016	Engin Özdemir	2	Viraj Lastiði	23,95	0	47,9
6.01.2016	Hüseyin Anýlan	22	Yað Filtresi	43,69	0,07	893,8974
14.04.2016	Ýbrahim Taha	24	Silecek	19,99	0,03	465,3672
4.01.2016	Damla Diker	4	Silecek	19,99	0	79,96
1.05.2016	Damla Diker	525	Far	100	0,54	24150
11.06.2016	Kenan Arýbaþ	4	Viraj Lastiði	23,95	0	95,8
4.02.2016	Orçun Doðan	75	Ateþleme Bobini	25,95	0,2	1557
10.06.2016	Murat Mandýracý	41	Fren Disk	59,99	0,14	2115,2474
30.04.2016	Engin Özdemir	4	Silecek	19,99	0	79,96
15.05.2016	Önerbay Ertuðrul	45	Günelik	15,95	0,15	610,0875
28.02.2016	Pýnar Girmen	36	Far	100	0,06	3384
13.01.2016	Suat Çelik	8	Viraj Lastiði	23,95	0	191,6
18.06.2016	Taylan Denizhan	50	Rot Kolu	27,95	0,33	936,325
21.04.2016	Taner Yýlmaz	6	Fren Disk	59,99	0	359,94
13.01.2016	Murat Mandýracý	2	Far	100	0	200
14.05.2016	Ali Koç	4	Trigger Seti	26	0	104
23.06.2016	Ýbrahim Taha	225	Fren Disk	59,99	0,42	7828,695
12.02.2016	Þemsettin Aksay	7	Fren Balatasý	24,99	0	174,93
24.05.2016	Burak Öztemel	39	Rot Kolu	27,95	0,12	959,244
14.06.2016	Deniz Kite	17	Tekerlek	19,99	0,13	295,6521
10.01.2016	Pýnar Girmen	275	Rot Kolu	27,95	0,53	3612,5375
16.02.2016	Levent Koç	2	Tekerlek	19,99	0	39,98
4.02.2016	Damla Diker	28	Silecek	19,99	0,14	481,3592
3.04.2016	Deniz Kite	475	Ateþleme Bobini	25,95	0,59	5053,7625
15.06.2016	Ahmet Yüce	3	Ateþleme Bobini	25,95	0	77,85
20.06.2016	Özge Dinçer	350	Viraj Lastiði	23,95	0,46	4526,55
2.01.2016	Emrah Kýrýmsoy	8	Viraj Lastiði	23,95	0	191,6
1.04.2016	Burak Öztemel	7	Rot Kolu	27,95	0	195,65
15.01.2016	Soner Bereket	475	Fren Balatasý	24,99	0,5	5935,125
26.05.2016	Behice Keleþ	44	Rot Kolu	27,95	0,13	1069,926
11.05.2016	Engin Özdemir	47	Silecek	19,99	0,02	920,7394
7.04.2016	Soner Bereket	375	Debiyaj Seti	22	0,6	3300
17.06.2016	Metin Koçyiðit	525	Trigger Seti	26	0,43	7780,5
23.05.2016	Ýbrahim Taha	225	Silecek	19,99	0,63	1664,1675
25.01.2016	Murat Mandýracý	2	Tekerlek	19,99	0	39,98
14.03.2016	Ergun Kaya	500	Ateþleme Bobini	25,95	0,45	7136,25
6.05.2016	Emrah Kýrýmsoy	150	Rot Baþý	23	0,2	2760
2.03.2016	Hasan Coþkun	7	Debiyaj Seti	22	0	154
29.04.2016	Burak Öztemel	300	Tekerlek	19,99	0,59	2458,77
4.04.2016	Ergun Kaya	7	Debiyaj Seti	22	0	154
16.01.2016	Taner Yýlmaz	16	Debiyaj Seti	22	0,09	320,32
24.05.2016	Burak Öztemel	100	Trigger Seti	26	0,33	1742
12.05.2016	Osman Þibik	31	Ateþleme Bobini	25,95	0,07	748,1385
3.01.2016	Behice Keleþ	325	Viraj Lastiði	23,95	0,55	3502,6875
20.04.2016	Sibel Demir	16	Ateþleme Bobini	25,95	0,07	386,136
24.01.2016	Deniz Kite	16	Buji Takýmý	43	0,1	619,2
18.01.2016	Ahmet Akgüneþ	500	Rot Baþý	23	0,54	5290
6.06.2016	Ayça Kayaþ	525	Viraj Lastiði	23,95	0,65	4400,8125
11.05.2016	Soner Bereket	425	Trigger Seti	26	0,61	4309,5
9.03.2016	Murat Mandýracý	31	Rot Kolu	27,95	0,1	779,805
27.05.2016	Azem Alptekin	200	Günelik	15,95	0,6	1276
14.06.2016	Osman Þibik	1	Silecek	19,99	0	19,99
7.04.2016	Osman Þibik	300	Rot Baþý	23	0,65	2415
2.04.2016	Kerem Köker	16	Silecek	19,99	0,15	271,864
11.04.2016	Ali Koç	22	Trigger Seti	26	0,08	526,24
9.02.2016	Esat Çetin	1	Ateþleme Bobini	25,95	0	25,95
5.05.2016	Kerem Köker	75	Rot Kolu	27,95	0,21	1656,0375
28.03.2016	Ayan Öztürk	450	Tekerlek	19,99	0,63	3328,335
7.06.2016	Levent Koç	375	Buji Takýmý	43	0,6	6450
22.04.2016	Yasin Uygur	225	Fren Disk	59,99	0,55	6073,9875
22.04.2016	Dilek Gürbüz	3	Trigger Seti	26	0	78
28.06.2016	Önerbay Ertuðrul	9	Rot Baþý	23	0	207
17.04.2016	Sevil Çetinkaya	7	Silecek	19,99	0	139,93
25.01.2016	Damla Diker	47	Debiyaj Seti	22	0,03	1002,98
17.03.2016	Deniz Kite	225	Buji Takýmý	43	0,48	5031
29.04.2016	Soner Bereket	275	Tekerlek	19,99	0,64	1979,01
25.02.2016	Taylan Denizhan	5	Viraj Lastiði	23,95	0	119,75
17.05.2016	Serdar Kýlýç	1	Fren Balatasý	24,99	0	24,99
5.05.2016	Ayça Kayaþ	47	Fren Disk	59,99	0,08	2593,9676
30.06.2016	Ahmet Akgüneþ	45	Tekerlek	19,99	0,07	836,5815
12.06.2016	Serdar Kýlýç	22	Buji Takýmý	43	0,08	870,32
6.05.2016	Buket Erezcan	30	Günelik	15,95	0,1	430,65
16.04.2016	Soner Bereket	2	Debiyaj Seti	22	0	44
27.02.2016	Gülten Seha	3	Rot Kolu	27,95	0	83,85
23.05.2016	Buket Erezcan	550	Yað Filtresi	43,69	0,44	13456,52
26.02.2016	Gülten Seha	29	Günelik	15,95	0,08	425,546
2.02.2016	Esat Çetin	275	Viraj Lastiði	23,95	0,49	3358,9875
26.01.2016	Ýbrahim Taha	2	Viraj Lastiði	23,95	0	47,9
5.05.2016	Dilek Gürbüz	8	Fren Disk	59,99	0	479,92
5.06.2016	Koray Cengiz	10	Fren Balatasý	24,99	0,03	242,403
31.03.2016	Hadi Ýstanbullu	425	Far	100	0,44	23800
31.03.2016	Damla Diker	27	Trigger Seti	26	0,15	596,7
26.01.2016	Ramazan Coþkun	9	Ateþleme Bobini	25,95	0	233,55
28.05.2016	Ýbrahim Taha	75	Rot Baþý	23	0,18	1414,5
22.04.2016	Hüseyin Anýlan	17	Rot Kolu	27,95	0,11	422,8835
11.04.2016	Gülten Seha	525	Fren Balatasý	24,99	0,56	5772,69
28.02.2016	Necmettin Yemiþ	19	Debiyaj Seti	22	0,01	413,82
7.01.2016	Ahmet Akgüneþ	550	Far	100	0,47	29150
15.02.2016	Serdar Kýlýç	4	Yað Filtresi	43,69	0	174,76
2.05.2016	Ufuk Çaðlayan	2	Debiyaj Seti	22	0	44
10.03.2016	Kenan Arýbaþ	9	Rot Kolu	27,95	0	251,55
23.03.2016	Þehabettin Gündoðdu	425	Silecek	19,99	0,65	2973,5125
3.03.2016	Azem Alptekin	35	Silecek	19,99	0,1	629,685
