Tarih	Satýþ Temsilcisi	Adet	ÜrünAdý	Fiyat	Ýndirim	Net
17.01.2014	Serdar Kýlýç	21	Buji Takýmý	43	0,07	839,79
12.10.2014	Hadi Ýstanbullu	425	Trigger Seti	26	0,48	5746
15.09.2014	Ramazan Coþkun	1	Debiyaj Seti	22	0	22
22.02.2014	Sibel Demir	30	Fren Disk	59,99	0,04	1727,712
31.10.2014	Metin Koçyiðit	34	Trigger Seti	26	0,13	769,08
25.06.2014	Þemsettin Aksay	7	Rot Baþý	23	0	161
8.08.2014	Ali Koç	31	Debiyaj Seti	22	0,15	579,7
2.12.2014	Damla Diker	300	Rot Kolu	27,95	0,47	4444,05
13.07.2014	Þehabettin Gündoðdu	225	Fren Balatasý	24,99	0,47	2980,0575
17.04.2014	Hülya Toprak	8	Yað Filtresi	43,69	0	349,52
18.07.2014	Sevil Çetinkaya	2	Rot Baþý	23	0	46
15.04.2014	Soner Bereket	8	Viraj Lastiði	23,95	0	191,6
21.04.2014	Hadi Ýstanbullu	45	Fren Disk	59,99	0,06	2537,577
9.11.2014	Esat Çetin	16	Buji Takýmý	43	0,07	639,84
30.09.2014	Orçun Doðan	475	Rot Kolu	27,95	0,45	7301,9375
24.03.2014	Necmettin Yemiþ	47	Viraj Lastiði	23,95	0,02	1103,137
10.10.2014	Necmettin Yemiþ	20	Ateþleme Bobini	25,95	0,05	493,05
24.01.2014	Soner Bereket	28	Fren Balatasý	24,99	0,04	671,7312
30.08.2014	Hadi Ýstanbullu	30	Silecek	19,99	0,15	509,745
26.10.2014	Sýtký Iþýt	15	Günelik	15,95	0,02	234,465
27.01.2014	Damla Diker	8	Fren Balatasý	24,99	0	199,92
14.04.2014	Emrah Kýrýmsoy	48	Tekerlek	19,99	0,09	873,1632
22.12.2014	Dilek Gürbüz	275	Trigger Seti	26	0,47	3789,5
27.04.2014	Taylan Denizhan	30	Fren Balatasý	24,99	0,07	697,221
5.01.2014	Ahmet Akgüneþ	4	Tekerlek	19,99	0	79,96
9.07.2014	Emrah Kýrýmsoy	5	Fren Balatasý	24,99	0	124,95
3.11.2014	Ahmet Yüce	100	Trigger Seti	26	0,39	1586
22.09.2014	Ayan Öztürk	250	Rot Baþý	23	0,56	2530
3.05.2014	Þemsettin Aksay	475	Ateþleme Bobini	25,95	0,54	5670,075
6.12.2014	Hülya Toprak	4	Viraj Lastiði	23,95	0	95,8
24.01.2014	Engin Özdemir	2	Viraj Lastiði	23,95	0	47,9
7.05.2014	Hüseyin Anýlan	22	Yað Filtresi	43,69	0,07	893,8974
1.12.2014	Ýbrahim Taha	24	Silecek	19,99	0,03	465,3672
10.05.2014	Damla Diker	4	Silecek	19,99	0	79,96
7.12.2014	Damla Diker	525	Far	100	0,54	24150
16.04.2014	Kenan Arýbaþ	4	Viraj Lastiði	23,95	0	95,8
3.09.2014	Orçun Doðan	75	Ateþleme Bobini	25,95	0,2	1557
